Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,117.793526,117.839714,117.793526,117.704834,117.704834,0
2021-07-19,117.830223,118.339600,117.830223,117.797791,117.797791,0
2021-07-20,118.140976,118.140976,118.137138,118.137466,118.137466,0
2021-07-21,118.143654,118.143654,117.866806,118.137138,118.137138,0
2021-07-22,117.720314,117.720314,117.573898,117.866806,117.866806,0
2021-07-23,117.675224,117.675224,117.614113,117.573898,117.573898,0
2021-07-26,117.607117,117.679886,117.607117,117.559654,117.559654,0
2021-07-27,117.509460,117.666664,117.509460,117.679886,117.679886,0
2021-07-28,117.417191,117.504387,117.417191,117.666664,117.666664,0
2021-07-29,117.101608,117.389435,117.101608,117.504387,117.504387,0
2021-07-30,117.301514,117.466667,117.301514,117.389435,117.389435,0
2021-08-02,117.789291,117.789291,117.538429,117.466667,117.466667,0
2021-08-03,117.725540,117.725540,117.306870,117.538429,117.538429,0
2021-08-04,117.580307,117.580307,117.226921,117.306870,117.306870,0
2021-08-05,117.445869,117.445869,117.143005,117.226921,117.226921,0
2021-08-06,117.335197,117.335197,117.151062,117.143005,117.143005,0
2021-08-09,117.687408,117.687408,117.255867,117.572350,117.572350,0
2021-08-10,117.434677,117.533859,117.434677,117.255867,117.255867,0
2021-08-11,117.633698,117.650726,117.633698,117.533859,117.533859,0
2021-08-12,117.364120,117.364120,117.295876,117.650726,117.650726,0
2021-08-13,117.311859,117.367325,117.311859,117.295876,117.295876,0
2021-08-16,116.922554,117.238045,116.922554,117.367325,117.367325,0
2021-08-17,117.420929,117.420929,117.382935,117.238045,117.238045,0
2021-08-18,117.315460,117.315460,117.315460,117.382935,117.382935,0
2021-08-19,117.503128,117.503128,117.503128,117.315460,117.315460,0
2021-08-20,117.573601,117.573601,117.573601,117.503128,117.503128,0
2021-08-23,117.363235,117.363235,117.363235,117.360008,117.360008,0
2021-08-24,117.235771,117.235771,115.753922,117.363235,117.363235,0
2021-08-25,115.738640,117.342186,115.738640,115.753922,115.753922,0
2021-08-26,117.144226,117.242172,117.144226,117.342186,117.342186,0
2021-08-27,117.536133,117.536133,117.044296,117.242172,117.242172,0
2021-08-30,116.599602,116.599602,115.655586,117.044296,117.044296,0
2021-08-31,115.602669,115.602669,115.203178,115.655586,115.655586,0
2021-09-01,115.602402,115.602402,115.468597,115.203178,115.203178,0
2021-09-02,115.229752,115.408989,115.229752,115.468597,115.468597,0
2021-09-03,115.114693,115.372467,115.114693,115.408989,115.408989,0
2021-09-06,115.320992,115.424774,115.320992,115.372467,115.372467,0
2021-09-07,116.085976,116.085976,116.085976,115.424774,115.424774,0
2021-09-08,116.070107,116.070107,116.070107,116.085976,116.085976,0
2021-09-09,116.256165,116.256165,116.256165,116.070107,116.070107,0
2021-09-10,116.032272,116.032272,116.032272,116.256165,116.256165,0
2021-09-13,116.289291,116.355949,116.289291,116.032272,116.032272,0
2021-09-14,116.043091,116.273514,116.043091,116.355949,116.355949,0
2021-09-15,116.276962,116.381126,116.276962,116.236595,116.236595,0
2021-09-16,116.472214,116.472214,116.020653,116.381126,116.381126,0
2021-09-17,116.103523,116.265640,116.103523,116.020653,116.020653,0
2021-09-20,116.784302,116.784302,116.403534,116.265640,116.265640,0
2021-09-21,116.266037,116.324600,116.266037,116.403534,116.403534,0
2021-09-22,116.506744,116.683434,116.506744,116.324600,116.324600,0
2021-09-23,117.126198,117.126198,116.506248,116.683434,116.683434,0
2021-09-24,116.186867,116.468910,116.186867,116.506248,116.506248,0
2021-09-27,116.640358,116.640358,116.468124,116.468910,116.468910,0
2021-09-28,116.638504,116.988464,116.638504,116.468124,116.468124,0
2021-09-29,116.995476,117.228958,116.995476,116.988464,116.988464,0
2021-09-30,117.778053,117.778053,117.253418,117.228958,117.228958,0
2021-10-01,117.304108,117.304108,117.136581,117.253418,117.253418,0
2021-10-04,116.944290,117.477898,116.944290,117.136581,117.136581,0
